parish,year,wht_not_hisp,asn_not_hisp,f_wht_not_hisp,f_blk_not_hisp,f_hisp_any,f_asn_not_hisp,age_btw_0_4,age_btw_5_9,age_btw_10_14,age_btw_15_19,age_btw_20_24,age_btw_25_29,age_btw_30_34,age_btw_35_39,age_btw_40_44,age_btw_45_49,age_btw_50_54,age_btw_55_59,age_btw_60_64,age_btw_65_69,age_btw_70_74,age_btw_75_79,age_btw_80_84,age_geq_85,blk_not_hisp,hisp_any,f_hisp_cub,f_hisp_dom,f_hisp_mex,f_hisp_pr,f_hisp_hon,f_hisp_gua,f_hisp_nic,f_hisp_sal,f_hisp_ca,f_hisp_sa,f_hisp_oth,age_btw_0_18
Orleans,2000,128871,10919,0.266,0.667,0.031,0.023,33496,37133,36769,38312,38932,36416,34050,35053,36444,34562,29128,21068,16658,14648,14301,12458,7838,7408,323392,14826,,,,,,,,,,,,129408
Orleans,2019,120582,11249,0.3090705,0.5905973,0.05506685,0.02883294,22434,21216,21671,21432,23056,32352,35329,30824,23929,22631,23131,25345,26093,22144,15708,9792,6311,6746,230418,21484,,,,,,,,,,,,77280
Jefferson,2000,,,0.645,0.227,0.071,0.031,30226,31811,32657,32436,29793,31838,32713,36367,36834,34166,30658,23741,17911,15034,14991,11973,6942,5375,,32418,,,,,,,,,,,,115255
Jefferson,2019,,,0.5195159,0.2705061,0.1491978,0.0418342,28109,26134,26131,23278,23622,30880,31046,28996,25428,25338,26849,30569,29610,25214,20006,13523,8568,9192,,64527,,,,,,,,,,,,115255
Plaquemines,2000,,,0.688,0.233,0.016,0.026,1977,2183,2241,2197,1668,1621,2024,2271,2247,1855,1554,1272,1034,854,769,524,259,207,,433,,,,,,,,,,,,
Plaquemines,2019,,,0.6305557,0.2067509,0.07871708,0.04147088,1533,1649,1779,1533,1451,1520,1477,1600,1477,1447,1573,1572,1336,1104,813,595,390,348,,1826,,,,,,,,,,,,
St. Bernard,2000,,,0.844,0.076,0.051,0.013,4242,4639,4996,5021,4257,4196,4584,5327,5530,4939,4398,3241,2597,2569,2714,2148,1051,780,,3425,,,,,,,,,,,,
St. Bernard,2019,,,0.6165227,0.2320506,0.1032089,0.02142071,3329,3635,3558,2915,2542,3661,3928,3585,3002,2657,2765,3088,2914,2113,1456,918,557,621,,4876,,,,,,,,,,,,
St. Charles,2000,,,0.705,0.251,0.028,0.006,3511,3994,4352,4063,2649,2662,3440,4407,4569,3732,2872,2025,1488,1345,1244,859,462,398,,1346,,,,,,,,,,,,
St. Charles,2019,,,0.6481544,0.2591337,0.06372881,0.0106968,3185,3580,3892,3444,3170,3399,3416,3625,3404,3220,3667,4027,3605,2754,1909,1240,833,730,,3384,,,,,,,,,,,,
