"","properties.addl_addr","properties.architect","properties.const_date","properties.geo_addr","properties.name","properties.no_cbd","properties.nom_des","properties.num1_edit","properties.num2_edit","properties.num_orig","properties.objectid","properties.staff","properties.str_orig","properties.street","type","lat","lon","datetime"
"1","","James Freret","1868","1641 Amelia Street","Hernandez-Davis House","New Orleans","Designated",1641,0,"1641",1,"BDB","Amelia Street","Amelia Street","Feature",29.9282048973458,-90.0947852426959,1868-01-01T01:01
"2","802 Delachaise Street","Unknown","","3445 Annunciation Street","Mystical's boyhood home","New Orleans","Nominated",3445,0,"3445",2,"BDB","Annunciation Street","Annunciation Street","Feature",29.9198374427236,-90.0888645451225,NA
"3","","","","3809 Annunciation Street","","New Orleans","Nominated",3809,3811,"3809-11",3,"BDB","Annunciation Street","Annunciation Street","Feature",29.9188275110502,-90.0937190442936,NA
"4","","","","3920 Annunciation Street","","New Orleans","Nominated",3920,3922,"3920-22",4,"BDB","Annunciation Street","Annunciation Street","Feature",29.9182168327911,-90.0948448724264,NA
"5","","","","4324 Annunciation Street","","New Orleans","Nominated",4324,0,"4324",5,"BDB","Annunciation Street","Annunciation Street","Feature",29.9177625304994,-90.1005136023929,NA
"6","","","","4326 Annunciation Street","","New Orleans","Nominated",4326,0,"4326",6,"BDB","Annunciation Street","Annunciation Street","Feature",29.9177547386891,-90.1005976681526,NA
"7","","","","4416 Annunciation Street","","New Orleans","Nominated",4416,0,"4416",7,"BDB","Annunciation Street","Annunciation Street","Feature",29.9176833453845,-90.101843236637,NA
"8","","","1927","8437 Apple Street","Ashton Theater","New Orleans","Designated",8437,0,"8437",8,"BDB","Apple Street","Apple Street","Feature",29.9602200910791,-90.1221120406307,1927-01-01T01:01
"9","","Unknown","1850","1630 Arabella Street","Benjamin-Schlesinger House","New Orleans","Designated",1630,0,"1630",9,"BDB","Arabella Street","Arabella Street","Feature",29.9308122277189,-90.1156387170245,1850-01-01T01:01
"10","","Emile Weil","1923","14 Audubon Boulevard","Shwarz-Long-Sternberg House","New Orleans","Designated",14,0,"0014",10,"BDB","Audubon Boulevard","Audubon Boulevard","Feature",29.9435602958017,-90.1194423808151,1923-01-01T01:01
"11","","Weiss, Dreyfous & Seiferth","1927","27 Audubon Place","Flonacher-Helis House","New Orleans","Designated",27,0,"0027",11,"BDB","Audubon Place","Audubon Place","Feature",29.9388728997828,-90.1217706652844,1927-01-01T01:01
"12","","William Platt","1939-40","7 Bamboo Road","Longue Vue House","New Orleans","Designated",7,0,"0007",12,"BDB","Bamboo Road","Bamboo Road","Feature",29.9776867815998,-90.124609503878,1939-01-01T01:01
"13","118-40 University Place","Toledano & Wogan","1908","123 Baronne Street","Fairmont Hotel","CBD","Designated",123,135,"0123-35",13,"BDB","Baronne Street","Baronne Street","Feature",29.9539374098785,-90.0716551821072,1908-01-01T01:01
"14","","Toledano & Wogan","1929-30","132 Baronne Street","Church of the Immaculate Conception","CBD","Designated",132,0,"0132",14,"BDB","Baronne Street","Baronne Street","Feature",29.9536740628445,-90.0715167905919,1929-01-01T01:01
"15","","","","317 Baronne Street","Former NOPSI building","CBD","Designated",317,0,"0317",15,"BDB","Baronne Street","Baronne Street","Feature",29.952086874071,-90.0726278129457,NA
"16","530 O'Keefe Street","Stone Brothers","1906","533 Baronne Street","Civic Theater","CBD","Designated",533,0,"0533",16,"BDB","Baronne Street","Baronne Street","Feature",29.9493711669797,-90.0734423139688,1906-01-01T01:01
"17","","","","1201 Baronne Street","","New Orleans","Designated",1201,0,"1201",17,"BDB","Baronne Street","Baronne Street","Feature",29.9427058183597,-90.0764630699892,NA
"18","","","","1223 Baronne Street","","New Orleans","Designated",1223,0,"1223",18,"BDB","Baronne Street","Baronne Street","Feature",29.9423407139829,-90.0767527625242,NA
"19","","","","1238 Baronne Street","Uglesich's Restaurant","New Orleans","Designated",1238,0,"1238",19,"BDB","Baronne Street","Baronne Street","Feature",29.9418950671151,-90.0767207432898,NA
"20","1712-24 O.C. Haley; 1819-33 Polymnia Street","","","1725 Baronne Street","Venus Gardens","New Orleans","Designated",1725,0,"1727",20,"BDB","Baronne Street","Baronne Street","Feature",29.9386228696254,-90.0794786086614,NA
"21","1801 Polymnia Street","","","1731 Baronne Street","Polymnia Street Sub Station","New Orleans","Designated",1731,0,"1731",21,"BDB","Baronne Street","Baronne Street","Feature",29.9385322142953,-90.0795362514027,NA
"22","","","","1824 Baronne Street","","New Orleans","Designated",1824,1826,"1824-26",22,"BDB","Baronne Street","Baronne Street","Feature",29.9376420317313,-90.0800678979677,NA
"23","","","","1828 Baronne Street","","New Orleans","Designated",1828,1830,"1828-30",23,"BDB","Baronne Street","Baronne Street","Feature",29.9375817654778,-90.0801539623477,NA
"24","","","","2000 Baronne Street","","New Orleans","Designated",2000,2002,"2000-02",24,"BDB","Baronne Street","Baronne Street","Feature",29.9371813499487,-90.0806584353358,NA
"25","","","","2005 Baronne Street","","New Orelans","Designated",2005,2007,"2005-07",25,"BDB","Baronne Street","Baronne Street","Feature",29.93732492494,-90.0809287262084,NA
"26","","","","2022 Baronne Street","","New Orleans","Designated",2022,2024,"2022-24",26,"BDB","Baronne Street","Baronne Street","Feature",29.9369428035412,-90.0810798081863,NA
"27","","","","2026 Baronne Street","","New Orleans","Designated",2026,2028,"2026-28",27,"BDB","Baronne Street","Baronne Street","Feature",29.9368910575317,-90.0811723073001,NA
