"","geometry.type","geometry.coordinates.1","geometry.coordinates.2","properties.geopin","properties.objectid","properties.shape_area","properties.shape_leng","properties.situs_dir","properties.situs_num","properties.situs_str","properties.situs_type","type"
"1","MultiPolygon",-90.048646135094,29.9531749966035,"41001477","1","6645.94661651","329.440637417","","705","PELICAN","AVE","Feature"
"2","MultiPolygon",-90.048661898303,29.9529206018441,"41001477","1","6645.94661651","329.440637417","","705","PELICAN","AVE","Feature"
"3","MultiPolygon",-90.0487768852001,29.9529225463667,"41001477","1","6645.94661651","329.440637417","","705","PELICAN","AVE","Feature"
"4","MultiPolygon",-90.0488854048148,29.9529243818979,"41001477","1","6645.94661651","329.440637417","","705","PELICAN","AVE","Feature"
"5","MultiPolygon",-90.0488692578533,29.9531853011294,"41001477","1","6645.94661651","329.440637417","","705","PELICAN","AVE","Feature"
"6","MultiPolygon",-90.0487609221467,29.9531804929808,"41001477","1","6645.94661651","329.440637417","","705","PELICAN","AVE","Feature"
"7","MultiPolygon",-90.0486461270462,29.9531756216774,"41001477","1","6645.94661651","329.440637417","","705","PELICAN","AVE","Feature"
"8","MultiPolygon",-90.048646135094,29.9531749966035,"41001477","1","6645.94661651","329.440637417","","705","PELICAN","AVE","Feature"
"9","MultiPolygon",-90.1085260464997,29.980159870314,"41015236","2","106082.240271","1302.83953438","","4801","CANAL","ST","Feature"
"10","MultiPolygon",-90.1078833033757,29.9808683994335,"41015236","2","106082.240271","1302.83953438","","4801","CANAL","ST","Feature"
"11","MultiPolygon",-90.1070779745244,29.9803157946688,"41015236","2","106082.240271","1302.83953438","","4801","CANAL","ST","Feature"
"12","MultiPolygon",-90.1077084225402,29.9796146559689,"41015236","2","106082.240271","1302.83953438","","4801","CANAL","ST","Feature"
"13","MultiPolygon",-90.1085260464997,29.980159870314,"41015236","2","106082.240271","1302.83953438","","4801","CANAL","ST","Feature"
"14","MultiPolygon",-90.0978232196191,29.9834861225313,"41015401","3","5894.07541146","325.233087139","","900","CITY PARK","AVE","Feature"
"15","MultiPolygon",-90.0979844584057,29.9832807218291,"41015401","3","5894.07541146","325.233087139","","900","CITY PARK","AVE","Feature"
"16","MultiPolygon",-90.0982173455974,29.9834360613342,"41015401","3","5894.07541146","325.233087139","","900","CITY PARK","AVE","Feature"
"17","MultiPolygon",-90.0981567215655,29.9835186327468,"41015401","3","5894.07541146","325.233087139","","900","CITY PARK","AVE","Feature"
"18","MultiPolygon",-90.0978232196191,29.9834861225313,"41015401","3","5894.07541146","325.233087139","","900","CITY PARK","AVE","Feature"
"19","MultiPolygon",-90.0748118302364,29.9656071480082,"41016338","4","36742.8368166","779.586102696","","1821","ORLEANS","AVE","Feature"
"20","MultiPolygon",-90.0745059512658,29.9659511654642,"41016338","4","36742.8368166","779.586102696","","1821","ORLEANS","AVE","Feature"
"21","MultiPolygon",-90.0739241976025,29.9655699011632,"41016338","4","36742.8368166","779.586102696","","1821","ORLEANS","AVE","Feature"
"22","MultiPolygon",-90.0742380373155,29.9652209592958,"41016338","4","36742.8368166","779.586102696","","1821","ORLEANS","AVE","Feature"
"23","MultiPolygon",-90.0748118302364,29.9656071480082,"41016338","4","36742.8368166","779.586102696","","1821","ORLEANS","AVE","Feature"
"24","MultiPolygon",-90.0780571649737,29.9613110403645,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"25","MultiPolygon",-90.0781052255661,29.9612571135728,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"26","MultiPolygon",-90.0781386811773,29.9612799366851,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"27","MultiPolygon",-90.0782070190851,29.9613262223451,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"28","MultiPolygon",-90.0782739366442,29.9613712448263,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"29","MultiPolygon",-90.0783422825353,29.9614169056924,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"30","MultiPolygon",-90.0784092006292,29.9614619274041,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"31","MultiPolygon",-90.0784761183749,29.9615069494297,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"32","MultiPolygon",-90.0784280578582,29.9615608767069,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"33","MultiPolygon",-90.0783799807522,29.9616160544604,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"34","MultiPolygon",-90.0783319197268,29.9616699816979,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"35","MultiPolygon",-90.0782593066005,29.9616211547329,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"36","MultiPolygon",-90.0781909684708,29.96157486875,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"37","MultiPolygon",-90.0782390295266,29.9615209415633,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"38","MultiPolygon",-90.0781721110701,29.9614759194096,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"39","MultiPolygon",-90.0781037656207,29.9614302584593,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"40","MultiPolygon",-90.0780368476858,29.961385236592,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"41","MultiPolygon",-90.0780090881873,29.9613662179883,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"42","MultiPolygon",-90.0780571649737,29.9613110403645,"41016636","5","8818.77975796","446.640733776","N","222","ROMAN","ST","Feature"
"43","MultiPolygon",-90.0746108864833,29.9679338100907,"41017715","6","8804.84035361","475.389491224","","2013","DUMAINE","ST","Feature"
"44","MultiPolygon",-90.0746749827051,29.967861283438,"41017715","6","8804.84035361","475.389491224","","2013","DUMAINE","ST","Feature"
"45","MultiPolygon",-90.0747361515973,29.9677931048058,"41017715","6","8804.84035361","475.389491224","","2013","DUMAINE","ST","Feature"
"46","MultiPolygon",-90.0748643274022,29.9676493021921,"41017715","6","8804.84035361","475.389491224","","2013","DUMAINE","ST","Feature"
"47","MultiPolygon",-90.075008108802,29.9677481965285,"41017715","6","8804.84035361","475.389491224","","2013","DUMAINE","ST","Feature"
"48","MultiPolygon",-90.0748027183,29.9679800286139,"41017715","6","8804.84035361","475.389491224","","2013","DUMAINE","ST","Feature"
"49","MultiPolygon",-90.0748838625663,29.9680358145838,"41017715","6","8804.84035361","475.389491224","","2013","DUMAINE","ST","Feature"
"50","MultiPolygon",-90.0749336889203,29.9680700480643,"41017715","6","8804.84035361","475.389491224","","2013","DUMAINE","ST","Feature"
"51","MultiPolygon",-90.0748571438311,29.9681049482265,"41017715","6","8804.84035361","475.389491224","","2013","DUMAINE","ST","Feature"
"52","MultiPolygon",-90.0746108864833,29.9679338100907,"41017715","6","8804.84035361","475.389491224","","2013","DUMAINE","ST","Feature"
"53","MultiPolygon",-90.0794701257207,29.9622171875144,"41018001","7","5882.08359297","337.342896876","","2001","IBERVILLE","ST","Feature"
"54","MultiPolygon",-90.0797002610444,29.9619568284212,"41018001","7","5882.08359297","337.342896876","","2001","IBERVILLE","ST","Feature"
"55","MultiPolygon",-90.0797550714206,29.9619942326445,"41018001","7","5882.08359297","337.342896876","","2001","IBERVILLE","ST","Feature"
"56","MultiPolygon",-90.0798227001447,29.9620398858954,"41018001","7","5882.08359297","337.342896876","","2001","IBERVILLE","ST","Feature"
"57","MultiPolygon",-90.0795940006874,29.9623002588785,"41018001","7","5882.08359297","337.342896876","","2001","IBERVILLE","ST","Feature"
"58","MultiPolygon",-90.0795256618777,29.9622539735969,"41018001","7","5882.08359297","337.342896876","","2001","IBERVILLE","ST","Feature"
"59","MultiPolygon",-90.0794701257207,29.9622171875144,"41018001","7","5882.08359297","337.342896876","","2001","IBERVILLE","ST","Feature"
"60","MultiPolygon",-90.0764148681789,29.9672140321049,"41018310","8","11728.0982851","469.453471012","","2101","ORLEANS","AVE","Feature"
"61","MultiPolygon",-90.0765656572068,29.9670416880033,"41018310","8","11728.0982851","469.453471012","","2101","ORLEANS","AVE","Feature"
"62","MultiPolygon",-90.0767178736445,29.9668699825093,"41018310","8","11728.0982851","469.453471012","","2101","ORLEANS","AVE","Feature"
"63","MultiPolygon",-90.0767648433785,29.9669029373734,"41018310","8","11728.0982851","469.453471012","","2101","ORLEANS","AVE","Feature"
"64","MultiPolygon",-90.0768360084721,29.9669530015706,"41018310","8","11728.0982851","469.453471012","","2101","ORLEANS","AVE","Feature"
"65","MultiPolygon",-90.0769078923485,29.9670030725907,"41018310","8","11728.0982851","469.453471012","","2101","ORLEANS","AVE","Feature"
"66","MultiPolygon",-90.0767556760348,29.9671747783013,"41018310","8","11728.0982851","469.453471012","","2101","ORLEANS","AVE","Feature"
"67","MultiPolygon",-90.0767428722504,29.9671652795052,"41018310","8","11728.0982851","469.453471012","","2101","ORLEANS","AVE","Feature"
"68","MultiPolygon",-90.0765920916288,29.9673369980324,"41018310","8","11728.0982851","469.453471012","","2101","ORLEANS","AVE","Feature"
"69","MultiPolygon",-90.0765159408211,29.967283760697,"41018310","8","11728.0982851","469.453471012","","2101","ORLEANS","AVE","Feature"
"70","MultiPolygon",-90.0764148681789,29.9672140321049,"41018310","8","11728.0982851","469.453471012","","2101","ORLEANS","AVE","Feature"
"71","MultiPolygon",-90.0763437142143,29.9720067946302,"41018383","9","3308.95838765","311.977617993","N","1125","TONTI","ST","Feature"
